# Ideographic Description Sequences (IDS) for CJK Unified Ideographs Extension J
# Supplement to BabelStone IDS.TXT <https://babelstone.co.uk/CJK/IDS.TXT>, whose last release covers
#	Unicode 16.0 and stops at U+323AF; this file covers the block the former does not.
# File Encoding: UTF-8 with BOM and CR/LF
# Unicode Version: 17.0 (September 2025)
# Total entries: 4,298
#
# The format, the component conventions (sections 5 to 9) and the numbered unencoded components ({n}) are
#	those of IDS.TXT; see its header.
#
# Sources:
#	The IDS column of the IRG Working Set 2021 (v7.0) review database <https://hc.jsecs.org/irg/ws2021/app/>,
#	from which Extension J was encoded, mapped to code points through the kIRG_*Source references of Unihan,
#	normalized to the IDS.TXT conventions, and checked character by character against the source glyphs of
#	the Unicode code charts. Source letters are those of IDS.TXT section 8.
#
# Kang Seonghoon is the sole author of this database and waives all rights to it as per IDS.TXT.
# Claude Opus 5.5 was used to semi-automatically prepare this database.
#
# CJK Unified Ideographs Extension J (4,298 characters)
# 4,298 characters added in Unicode version 17.0 (September 2025)
U+323B0	𲎰	^⿻丅𠃍$(U)
U+32C6A	𲱪	^⿸疒莭$(G)
U+32C6B	𲱫	^⿸疒𨳒$(V)
U+32C6C	𲱬	^⿸疒粒$(U)
U+32C6D	𲱭	^⿸疒尉$(B)
U+32C6E	𲱮	^⿸疒博$(G)
U+32C6F	𲱯	^⿸疒⿱艹𤰅$(S)
U+32C70	𲱰	^⿸疒普$(B)
U+32C71	𲱱	^⿸疒阑$(B)
U+32C72	𲱲	^⿸疒隊$(V)
U+32C73	𲱳	^⿸疒鼓$(B)
U+32C74	𲱴	^⿸疒塊$(V)
U+32C75	𲱵	^⿸疒勤$(V)
U+32C76	𲱶	^⿸疒暗$(V)
U+32C77	𲱷	^⿸疒酸$(B)
U+32C78	𲱸	^⿸疒榮$(V)
U+32C79	𲱹	^⿸疒⿱𦍌盆$(S)
U+32C7A	𲱺	^⿸疒⿸广⿰尚欠$(V)
U+32C7B	𲱻	^⿸疒邊$(V)
U+32C7C	𲱼	^⿸疒嚴$(V)
U+32C7D	𲱽	^⿰癢我$(V)
U+32C7E	𲱾	^⿱癶匕$(V)
U+32C7F	𲱿	^⿰登包$(T)
U+32C80	𲲀	^⿰白衣$(V)
U+32C81	𲲁	^⿰白别$(G)
U+32C82	𲲂	^⿱泉双$(G)
U+32C83	𲲃	^⿱林百$(V)
U+32C84	𲲄	^⿰白氣$(B)
U+32C85	𲲅	^⿰皮句$(S)
U+32C86	𲲆	^⿰半皮$(G)
U+32C87	𲲇	^⿰皮合$(U)
U+32C88	𲲈	^⿰皮芒$(V)
U+32C89	𲲉	^⿰皮奄$(GUB)
U+32C8A	𲲊	^⿰律皮$(V)
U+32C8B	𲲋	^⿰皮巢$(GUB)
U+32C8C	𲲌	^⿰番皮$(S)
U+32C8D	𲲍	^⿰葉皮$(V)
U+32C8E	𲲎	^⿰補皮$(V)
U+32C8F	𲲏	^⿱公皿$(T)
U+32C90	𲲐	^⿱世皿$(G)
U+32C91	𲲑	^⿱芉皿$(S)
U+32C92	𲲒	^⿱大盖$(V)
U+32C93	𲲓	^⿱流皿$(B)
U+32C94	𲲔	^⿰盖代$(V)
U+32C95	𲲕	^⿰盗屯$(V)
U+32C96	𲲖	^⿱𡩧皿$(B)
U+32C97	𲲗	^⿱肅皿$(B)
U+32C98	𲲘	^⿰曷盡$(V)
U+32C99	𲲙	^⿰盗遁$(V)
U+32C9A	𲲚	^⿰目乃$(UB)
U+32C9B	𲲛	^⿱比目$(G)
U+32C9C	𲲜	^⿰目𪟽$(V)
U+32C9D	𲲝	^⿱升目$(T)
U+32C9E	𲲞	^⿰目𫜵$(V)
U+32C9F	𲲟	^⿰目厉$(B)
U+32CA0	𲲠	^⿰目史$(G)
U+32CA1	𲲡	^⿰目因$(B)
U+32CA2	𲲢	^⿰目技$(V)
U+32CA3	𲲣	^⿰目䀏$(S)
U+32CA4	𲲤	^⿰目狂$(S)
U+32CA5	𲲥	^⿰目没$(G)
U+32CA6	𲲦	^⿰目玩$(G)
U+32CA7	𲲧	^⿰目虎$(T)
U+32CA8	𲲨	^⿰目迎$(VB)
U+32CA9	𲲩	^⿰目房$(G)
U+32CAA	𲲪	^⿰目空$(B)
U+32CAB	𲲫	^⿰目計$(V)
U+32CAC	𲲬	^⿰目雩$(B)
U+32CAD	𲲭	^⿰末眼$(V)
U+32CAE	𲲮	^⿰目崔$(V)
U+32CAF	𲲯	^⿰目晉$(B)
U+32CB0	𲲰	^⿰目幾$(T)
U+32CB1	𲲱	^⿰目頓$(V)
U+32CB2	𲲲	^⿰目⿱罒夌$(T)
U+32CB3	𲲳	^⿰目粲$(B)
U+32CB4	𲲴	^⿰目𡕰$(GU)
U+32CB5	𲲵	^⿱倘直$(V)
U+32CB6	𲲶	^⿰真員$(T)
U+32CB7	𲲷	^⿰目撩$(V)
U+32CB8	𲲸	^⿰目箴$(V)
U+32CB9	𲲹	^⿰眉皐$(V)
U+32CBA	𲲺	^⿰目蕊$(G)
U+32CBB	𲲻	^⿰睿⿱只夂$(S)
U+32CBC	𲲼	^⿰目攀$(B)
U+32CBD	𲲽	^⿰目鹽$(V)
U+32CBE	𲲾	^⿰務戊$(V)
U+32CBF	𲲿	^⿰務每$(V)
U+32CC0	𲳀	^⿰矛⿱⿴𦥑同㷊$(S)
U+32CC1	𲳁	^⿰矢西$(T)
U+32CC2	𲳂	^⿰矢定$(T)
U+32CC3	𲳃	^⿱知别$(V)
U+32CC4	𲳄	^⿱半短$(V)
U+32CC5	𲳅	^⿰矢數$(V)
U+32CC6	𲳆	^⿱短問$(V)
U+32CC7	𲳇	^⿰問短$(V)
U+32CC8	𲳈	^⿱石𠃍$(K)
U+32CC9	𲳉	^⿰石七$(G)
U+32CCA	𲳊	^⿰石又$(G)
U+32CCB	𲳋	^⿰石圡$(T)
U+32CCC	𲳌	^⿰石犬$(B)
U+32CCD	𲳍	^⿰石壬$(G)
U+32CCE	𲳎	^⿰石卬$(T)
U+32CCF	𲳏	^⿰石片$(B)
U+32CD0	𲳐	^⿰石化$(B)
U+32CD1	𲳑	^⿰石六$(G)
U+32CD2	𲳒	^⿱石心$(G)
U+32CD3	𲳓	^⿰石东$(GU)
U+32CD4	𲳔	^⿱石平$(G)
U+32CD5	𲳕	^⿰石目$(G)
U+32CD6	𲳖	^⿰石尕$(G)
U+32CD7	𲳗	^⿰石外$(G)
U+32CD8	𲳘	^⿰石市$(G)
U+32CD9	𲳙	^⿰石压$(B)
U+32CDA	𲳚	^⿰石伏$(G)
U+32CDB	𲳛	^⿰多石$(V)
U+32CDC	𲳜	^⿰石农$(G)
U+32CDD	𲳝	^⿰石安$(GU)
U+32CDE	𲳞	^⿰石汞$(G)
U+32CDF	𲳟	^⿰石却$(T)
U+32CE0	𲳠	^⿰石声$(T)
U+32CE1	𲳡	^⿰石酉$(U)
U+32CE2	𲳢	^⿰石冏$(B)
U+32CE3	𲳣	^⿰石寽$(T)
U+32CE4	𲳤	^⿰石夋$(T)
U+32CE5	𲳥	^⿰石奉$(G)
U+32CE6	𲳦	^⿱斩石$(G)
U+32CE7	𲳧	^⿰石拉$(G)
U+32CE8	𲳨	^⿰石忠$(B)
U+32CE9	𲳩	^⿰石欣$(G)
U+32CEA	𲳪	^⿰石的$(B)
U+32CEB	𲳫	^⿰石炎$(B)
U+32CEC	𲳬	^⿰石屈$(B)
U+32CED	𲳭	^⿰石南$(G)
U+32CEE	𲳮	^⿰石㪅$(S)
U+32CEF	𲳯	^⿰石某$(T)
U+32CF0	𲳰	^⿱封石$(B)
U+32CF1	𲳱	^⿰石柬$(UB)
U+32CF2	𲳲	^⿰石者$(B)
U+32CF3	𲳳	^⿰石𬙙$(G)
U+32CF4	𲳴	^⿰石音$(G)
U+32CF5	𲳵	^⿰石屏$(B)
U+32CF6	𲳶	^⿰石费$(B)
U+32CF7	𲳷	^⿰石聂$(G)
U+32CF8	𲳸	^⿰石秦$(B)
U+32CF9	𲳹	^⿰石聀$(V)
U+32CFA	𲳺	^⿰石莺$(B)
U+32CFB	𲳻	^⿰石茶$(B)
U+32CFC	𲳼	^⿰石盌$(T)
U+32CFD	𲳽	^⿱准石$(G)
U+32CFE	𲳾	^⿰石料$(G)
U+32CFF	𲳿	^⿰石曼$(B)
U+32D00	𲴀	^⿰石畢$(B)
U+32D01	𲴁	^⿰石貭$(T)
U+32D02	𲴂	^⿰石商$(B)
U+32D03	𲴃	^⿰石惠$(T)
U+32D04	𲴄	^⿰石晶$(G)
U+32D05	𲴅	^⿰石紫$(G)
U+32D06	𲴆	^⿰石貴$(GB)
U+32D07	𲴇	^⿰石買$(T)
U+32D08	𲴈	^⿰石進$(B)
U+32D09	𲴉	^⿰石普$(G)
U+32D0A	𲴊	^⿰石費$(B)
U+32D0B	𲴋	^⿰石絫$(B)
U+32D0C	𲴌	^⿰石巽$(B)
U+32D0D	𲴍	^⿰石頓$(G)
U+32D0E	𲴎	^⿰石塊$(V)
U+32D0F	𲴏	^⿰石照$(G)
U+32D10	𲴐	^⿰石粲$(T)
U+32D11	𲴑	^⿰石匱$(T)
U+32D12	𲴒	^⿰石蒼$(T)
U+32D13	𲴓	^⿰石鼻$(T)
U+32D14	𲴔	^⿰石箤$(T)
U+32D15	𲴕	^⿰石管$(B)
U+32D16	𲴖	^⿰石憂$(T)
U+32D17	𲴗	^⿰石罷$(B)
U+32D18	𲴘	^⿰石覧$(B)
U+32D19	𲴙	^⿰石蕉$(T)
U+32D1A	𲴚	^⿰石盧$(B)
U+32D1B	𲴛	^⿰石憲$(T)
U+32D1C	𲴜	^⿰石麗$(B)
U+32D1D	𲴝	^⿰石爕$(T)
U+32D1E	𲴞	^⿰石獻$(B)
U+32D1F	𲴟	^⿰石竈$(B)
U+32D20	𲴠	^⿰石鶯$(U)
U+32D21	𲴡	^⿰石彎$(B)
U+32D22	𲴢	^⿰石巖$(S)
U+32D23	𲴣	^⿰礻犬$(G)
U+32D24	𲴤	^⿰礻百$(T)
U+32D25	𲴥	^⿰礻⿱口凡$(T)
U+32D26	𲴦	^⿰礻吾$(V)
U+32D27	𲴧	^⿰礻長$(T)
U+32D28	𲴨	^⿰礻或$(B)
U+32D29	𲴩	^⿰礻近$(T)
U+32D2A	𲴪	^⿰礻金$(T)
U+32D2B	𲴫	^⿰礻炎$(G)
U+32D2C	𲴬	^⿺礼里$(V)
U+32D2D	𲴭	^⿺礼呈$(V)
U+32D2E	𲴮	^⿰礻咢$(T)
U+32D2F	𲴯	^⿰礻保$(G)
U+32D30	𲴰	^⿰礻盾$(T)
U+32D31	𲴱	^⿰礻𫨻$(U)
U+32D32	𲴲	^⿰礻追$(T)
U+32D33	𲴳	^⿰礻崩$(G)
U+32D34	𲴴	^⿰礻𢚩$(T)
U+32D35	𲴵	^⿰礻庸$(T)
U+32D36	𲴶	^⿰礻竟$(T)
U+32D37	𲴷	^⿰礻盛$(T)
U+32D38	𲴸	^⿰礻尋$(T)
U+32D39	𲴹	^⿰礻楚$(T)
U+32D3A	𲴺	^⿰礻喿$(T)
U+32D3B	𲴻	^⿰礻過$(T)
U+32D3C	𲴼	^⿰礻義$(T)
U+32D3D	𲴽	^⿰礻嘉$(T)
U+32D3E	𲴾	^⿲礻言男$(T)
U+32D3F	𲴿	^⿰礻榮$(T)
U+32D40	𲵀	^⿰礻蔑$(T)
U+32D41	𲵁	^⿰礻遷$(GB)
U+32D42	𲵂	^⿰示⿱⿴𦥑同㷊$(S)
U+32D43	𲵃	^⿰禹弗$(B)
U+32D44	𲵄	^⿰离巢$(V)
U+32D45	𲵅	^⿰禾尧$(GB)
U+32D46	𲵆	^⿰禾岂$(G)
U+32D47	𲵇	^⿰禾向$(T)
U+32D48	𲵈	^⿰禾牟$(V)
U+32D49	𲵉	^⿰禾岙$(G)
U+32D4A	𲵊	^⿰禾坐$(B)
U+32D4B	𲵋	^⿰禾言$(B)
U+32D4C	𲵌	^⿰禾長$(G)
U+32D4D	𲵍	^⿰禾奈$(B)
U+32D4E	𲵎	^⿰禾宜$(T)
U+32D4F	𲵏	^⿰禾斉$(U)
U+32D50	𲵐	^⿰禾𭖔$(G)
U+32D51	𲵑	^⿰禾崙$(T)
U+32D52	𲵒	^⿰禾庶$(G)
U+32D53	𲵓	^⿰禾然$(B)
U+32D54	𲵔	^⿰禾羡$(T)
U+32D55	𲵕	^⿰禾巽$(T)
U+32D56	𲵖	^⿰禾僉$(T)
U+32D57	𲵗	^⿰移𡗶$(V)
U+32D58	𲵘	^⿰禾榖$(V)
U+32D59	𲵙	^⿰禾齒$(T)
U+32D5A	𲵚	^⿰禾養$(T)
U+32D5B	𲵛	^⿰禾篙$(T)
U+32D5C	𲵜	^⿰禾暨$(T)
U+32D5D	𲵝	^⿰禾⿱康米$(S)
U+32D5E	𲵞	^⿱穴山$(B)
U+32D5F	𲵟	^⿳穴厶田$(V)
U+32D60	𲵠	^⿱穴放$(T)
U+32D61	𲵡	^⿱穴居$(B)
U+32D62	𲵢	^⿱穴殷$(T)
U+32D63	𲵣	^⿱穴射$(T)
U+32D64	𲵤	^⿱穴髙$(T)
U+32D65	𲵥	^⿰立刀$(G)
U+32D66	𲵦	^⿰立及$(G)
U+32D67	𲵧	^⿰立旦$(V)
U+32D68	𲵨	^⿰立包$(G)
U+32D69	𲵩	^⿰立而$(G)
U+32D6A	𲵪	^⿰立吉$(T)
U+32D6B	𲵫	^⿱知立$(B)
U+32D6C	𲵬	^⿰立定$(G)
U+32D6D	𲵭	^⿰急立$(V)
U+32D6E	𲵮	^⿰立扁$(T)
U+32D6F	𲵯	^⿰立庸$(T)
U+32D70	𲵰	^⿰立意$(T)
U+32D71	𲵱	^⿰童征$(V)
U+32D72	𲵲	^⿰亲暮$(G)
U+32D73	𲵳	^⿱𥫗木$(V)
U+32D74	𲵴	^⿱𥫗介$(T)
U+32D75	𲵵	^⿱𥫗卡$(B)
U+32D76	𲵶	^⿱𥫗禾$(G)
U+32D77	𲵷	^⿳𥫗一右$(T)
U+32D78	𲵸	^⿱𥫗伏$(T)
U+32D79	𲵹	^⿱𥫗厽$(G)
U+32D7A	𲵺	^⿱𥫗孝$(T)
U+32D7B	𲵻	^⿱𥫗役$(B)
U+32D7C	𲵼	^⿱𥫗杪$(B)
U+32D7D	𲵽	^⿱𥫗杷$(V)
U+32D7E	𲵾	^⿱𥫗叔$(T)
U+32D7F	𲵿	^⿱𥫗果$(V)
U+32D80	𲶀	^⿱𥫗𱻊$(V)
U+32D81	𲶁	^⿱𥫗⿲工手几$(S)
U+32D82	𲶂	^⿱𥫗枯$(B)
U+32D83	𲶃	^⿱𥫗炭$(T)
U+32D84	𲶄	^⿱𥫗囿$(B)
U+32D85	𲶅	^⿱𥫗看$(G)
U+32D86	𲶆	^⿱𥫗桂$(T)
U+32D87	𲶇	^⿱𮅕刀$(T)
U+32D88	𲶈	^⿱𥫗閃$(T)
U+32D89	𲶉	^⿱𥫗耙$(G)
U+32D8A	𲶊	^⿱𥫗适$(S)
U+32D8B	𲶋	^⿱𥫗匾$(G)
U+32D8C	𲶌	^⿱𥫗桻$(T)
U+32D8D	𲶍	^⿱𥫗勘$(T)
U+32D8E	𲶎	^⿱𥫗𤱱$(T)
U+32D8F	𲶏	^⿱𥫗㭪$(T)
U+32D90	𲶐	^⿱𥫗異$(T)
U+32D91	𲶑	^⿳𥫗罒早$(T)
U+32D92	𲶒	^⿰笛老$(V)
U+32D93	𲶓	^⿱𥫗敛$(G)
U+32D94	𲶔	^⿱𥫗悠$(T)
U+32D95	𲶕	^⿱𥫗旋$(T)
U+32D96	𲶖	^⿱𥫗𫂸$(T)
U+32D97	𲶗	^⿱𥫗盛$(T)
U+32D98	𲶘	^⿱𥫗朝$(T)
U+32D99	𲶙	^⿱𥫗𠝣$(S)
U+32D9A	𲶚	^⿱𥫗勝$(T)
U+32D9B	𲶛	^⿱𥫗猴$(B)
U+32D9C	𲶜	^⿱𥫗𪲪$(T)
U+32D9D	𲶝	^⿱𥫗賈$(TV)
U+32D9E	𲶞	^⿱𥫗鼓$(B)
U+32D9F	𲶟	^⿱𥫗禁$(V)
U+32DA0	𲶠	^⿱𥫗𪮏$(V)
U+32DA1	𲶡	^⿱𥫗⿰离刂$(S)
U+32DA2	𲶢	^⿱𥫗痴$(V)
U+32DA3	𲶣	^⿱𥫗綦$(T)
U+32DA4	𲶤	^⿱𥫗⿰彳條$(T)
U+32DA5	𲶥	^⿱𥫗撢$(T)
U+32DA6	𲶦	^⿱𥫗潜$(S)
U+32DA7	𲶧	^⿱𥫗擔$(T)
U+32DA8	𲶨	^⿱𥫗耨$(V)
U+32DA9	𲶩	^⿱𥫗積$(S)
U+32DAA	𲶪	^⿱𥫗鍄$(V)
U+32DAB	𲶫	^⿱𥫗澤$(T)
U+32DAC	𲶬	^⿱𥫗暨$(T)
U+32DAD	𲶭	^⿱𥫗檡$(T)
U+32DAE	𲶮	^⿰弄篭$(V)
U+32DAF	𲶯	^⿱𥫗𨗩$(G)
U+32DB0	𲶰	^⿰筆嵬$(V)
U+32DB1	𲶱	^⿰笨審$(G)
U+32DB2	𲶲	^⿱𥫗鑊$(V)
U+32DB3	𲶳	^⿱𥫗⿰魚詹$(G)
U+32DB4	𲶴	^⿱𥫗靍$(T)
U+32DB5	𲶵	^⿰米卜$(T)
U+32DB6	𲶶	^⿰米于$(T)
U+32DB7	𲶷	^⿰米丸$(T)
U+32DB8	𲶸	^⿰米亡$(B)
U+32DB9	𲶹	^⿰米叉$(B)
U+32DBA	𲶺	^⿰米云$(B)
U+32DBB	𲶻	^⿰米內$(T)
U+32DBC	𲶼	^⿰米今$(T)
U+32DBD	𲶽	^⿰米及$(T)
U+32DBE	𲶾	^⿰米冘$(V)
U+32DBF	𲶿	^⿰米允$(T)
U+32DC0	𲷀	^⿰米只$(G)
U+32DC1	𲷁	^〾⿱米冉$(T)
U+32DC2	𲷂	^⿰米汉$(G)
U+32DC3	𲷃	^⿰米各$(T)
U+32DC4	𲷄	^⿰米羊$(G)
U+32DC5	𲷅	^⿰米池$(V)
U+32DC6	𲷆	^⿰米酉$(T)
U+32DC7	𲷇	^⿰米困$(T)
U+32DC8	𲷈	^⿰米我$(G)
U+32DC9	𲷉	^⿰米矣$(S)
U+32DCA	𲷊	^⿰米奈$(B)
U+32DCB	𲷋	^⿰米放$(G)
U+32DCC	𲷌	^⿰米妾$(V)
U+32DCD	𲷍	^⿰米故$(T)
U+32DCE	𲷎	^⿰米勃$(V)
U+32DCF	𲷏	^⿰米品$(G)
U+32DD0	𲷐	^⿰米炭$(V)
U+32DD1	𲷑	^⿰米⿱士𠖀$(T)
U+32DD2	𲷒	^⿰米叟$(S)
U+32DD3	𲷓	^⿰米鬼$(B)
U+32DD4	𲷔	^⿰米笈$(V)
U+32DD5	𲷕	^⿰米恋$(GB)
U+32DD6	𲷖	^⿰米能$(G)
U+32DD7	𲷗	^⿰米⿱禾而$(S)
U+32DD8	𲷘	^⿰米⿸尸禺$(T)
U+32DD9	𲷙	^⿰米犀$(B)
U+32DDA	𲷚	^⿰米碍$(G)
U+32DDB	𲷛	^⿰米嗇$(T)
U+32DDC	𲷜	^⿰米雷$(V)
U+32DDD	𲷝	^⿰精用$(V)
U+32DDE	𲷞	^⿰米𭵝$(T)
U+32DDF	𲷟	^⿰尾粦$(V)
U+32DE0	𲷠	^⿰米⿱夭馬$(T)
U+32DE1	𲷡	^⿰米畾$(G)
U+32DE2	𲷢	^⿰米箴$(V)
U+32DE3	𲷣	^⿰米審$(G)
U+32DE4	𲷤	^⿰粟朔$(V)
U+32DE5	𲷥	^⿰吉糞$(V)
U+32DE6	𲷦	^⿰米矯$(V)
U+32DE7	𲷧	^⿰米雚$(B)
U+32DE8	𲷨	^⿰米戀$(UB)
U+32DE9	𲷩	^⿰糹巾$(V)	^⿰糸巾$(S)
U+32DEA	𲷪	^⿰糹门$(V)
U+32DEB	𲷫	^⿰糸殳$(S)	^⿰糹殳$(Z)
U+32DEC	𲷬	^⿰糹扑$(V)
U+32DED	𲷭	^⿰糹乏$(V)
U+32DEE	𲷮	^⿰糸灰$(S)	^⿰糹灰$(Z)
U+32DEF	𲷯	^⿰糹匡$(B)
U+32DF0	𲷰	^⿰糹执$(V)
U+32DF1	𲷱	^⿰糹老$(V)
U+32DF2	𲷲	^⿰糹曲$(GT)
U+32DF3	𲷳	^⿰糹𫥞$(T)
U+32DF4	𲷴	^⿰糹宅$(T)
U+32DF5	𲷵	^⿰𥾽乃$(V)
U+32DF6	𲷶	^⿰糹江$(V)
U+32DF7	𲷷	^⿰糹却$(V)
U+32DF8	𲷸	^⿰糹均$(V)
U+32DF9	𲷹	^⿰糹别$(V)
U+32DFA	𲷺	^⿰糸狂$(S)	^⿰糹狂$(Z)
U+32DFB	𲷻	^⿱狂糸$(S)
U+32DFC	𲷼	^⿰糹忘$(V)
U+32DFD	𲷽	^⿰糹妙$(V)
U+32DFE	𲷾	^⿱卧糸$(T)
U+32DFF	𲷿	^⿰糹事$(V)
U+32E00	𲸀	^⿰糹芳$(T)
U+32E01	𲸁	^⿰糹些$(B)
U+32E02	𲸂	^⿰糹𱽐$(V)
U+32E03	𲸃	^⿰糸⿱亠糸$(S)	^⿰糹⿱亠糸$(Z)
U+32E04	𲸄	^⿰糹底$(V)
U+32E05	𲸅	^⿱絶弋$(V)
U+32E06	𲸆	^⿰糹癸$(B)
U+32E07	𲸇	^⿰糹栽$(T)
U+32E08	𲸈	^⿰糹夏$(B)
U+32E09	𲸉	^⿰糹茟$(T)
U+32E0A	𲸊	^⿰糹𢼸$(T)
U+32E0B	𲸋	^⿰臬糸$(S)
U+32E0C	𲸌	^⿰糹能$(G)
U+32E0D	𲸍	^⿱能糸$(GUB)
U+32E0E	𲸎	^⿰糹⿱覀冭$(T)
U+32E0F	𲸏	^⿰糹基$(T)
U+32E10	𲸐	^⿰糹崗$(T)
U+32E11	𲸑	^⿰糹崙$(T)
U+32E12	𲸒	^⿰糹章$(B)
U+32E13	𲸓	^⿰糹𱱇$(V)
U+32E14	𲸔	^⿰糸䙴$(T)	^⿰糹䙴$(Z)
U+32E15	𲸕	^⿰糹閑$(T)
U+32E16	𲸖	^⿰糸象$(T)	^⿰糹象$(Z)
U+32E17	𲸗	^⿰糸⿱宀⿰亻囱$(S)	^⿰糹⿱宀⿰亻囱$(Z)
U+32E18	𲸘	^⿰糹窘$(V)
U+32E19	𲸙	^⿰糹詐$(V)
U+32E1A	𲸚	^⿰糹楣$(V)
U+32E1B	𲸛	^⿰糸葉$(S)	^⿰糹葉$(Z)
U+32E1C	𲸜	^⿱敬糸$(T)
U+32E1D	𲸝	^⿰糹罩$(V)
U+32E1E	𲸞	^⿱終侖$(V)
U+32E1F	𲸟	^⿰糹滅$(V)
U+32E20	𲸠	^⿰絲貝$(V)
U+32E21	𲸡	^⿰糹寨$(V)
U+32E22	𲸢	^⿰糹槊$(V)
U+32E23	𲸣	^⿰糸盡$(S)	^⿰糹盡$(Z)
U+32E24	𲸤	^⿰糹⿱雨里$(B)
U+32E25	𲸥	^⿰糹播$(V)
U+32E26	𲸦	^⿱餒糸$(V)
U+32E27	𲸧	^⿰糹寮$(T)
U+32E28	𲸨	^⿰糹論$(V)
U+32E29	𲸩	^⿰糹霍$(B)
U+32E2A	𲸪	^⿰紫細$(V)
U+32E2B	𲸫	^⿰糹矯$(V)
U+32E2C	𲸬	^⿰糹難$(B)
U+32E2D	𲸭	^⿰𦇒𠬠$(V)
U+32E2E	𲸮	^⿱論終$(V)
U+32E2F	𲸯	^⿰纟车$(G)
U+32E30	𲸰	^⿰纟太$(G)
U+32E31	𲸱	^⿰纟罗$(G)
U+32E32	𲸲	^⿰缶犬$(G)
U+32E33	𲸳	^⿰缶央$(B)
U+32E34	𲸴	^⿰缶半$(G)
U+32E35	𲸵	^⿰𦈢奉$(T)
U+32E36	𲸶	^⿰𦈢𰏤$(S)
U+32E37	𲸷	^⿰缶𦐇$(B)
U+32E38	𲸸	^⿰缶專$(V)
U+32E39	𲸹	^⿰缶𡭽$(B)
U+32E3A	𲸺	^⿰缶喬$(T)
U+32E3B	𲸻	^⿰缶曾$(B)
U+32E3C	𲸼	^⿰缶會$(B)
U+32E3D	𲸽	^⿱罒友$(T)
U+32E3E	𲸾	^⿱网𠕎$(S)
U+32E3F	𲸿	^⿱罒㓡$(B)
U+32E40	𲹀	^⿱罒則$(S)
U+32E41	𲹁	^⿰買由$(G)
U+32E42	𲹂	^⿱罒⿰肖光$(B)
U+32E43	𲹃	^⿱罒錐$(T)
U+32E44	𲹄	^⿰羊⿱口𫶧$(S)
U+32E45	𲹅	^⿰巠羊$(G)
U+32E46	𲹆	^⿰羊肖$(B)
U+32E47	𲹇	^⿰美号$(G)
U+32E48	𲹈	^⿱𦍌取$(T)
U+32E49	𲹉	^⿰美㐌$(V)
U+32E4A	𲹊	^⿰羊罗$(B)
U+32E4B	𲹋	^⿰羊帛$(U)
U+32E4C	𲹌	^⿰羊蚤$(B)
U+32E4D	𲹍	^⿰羊閃$(B)
U+32E4E	𲹎	^⿰羊芻$(V)
U+32E4F	𲹏	^⿱殸羊$(S)
U+32E50	𲹐	^⿰美撑$(V)
U+32E51	𲹑	^⿰羽十$(V)
U+32E52	𲹒	^⿰羽士$(V)
U+32E53	𲹓	^⿱羽个$(B)
U+32E54	𲹔	^⿱㝉羽$(S)
U+32E55	𲹕	^⿰江羽$(V)
U+32E56	𲹖	^⿰羽免$(S)
U+32E57	𲹗	^⿰庚羽$(K)
U+32E58	𲹘	^⿰羽迥$(K)
U+32E59	𲹙	^⿰昱羽$(T)
U+32E5A	𲹚	^⿰為羽$(V)
U+32E5B	𲹛	^⿰𦚏羽$(V)
U+32E5C	𲹜	^⿰康羽$(K)
U+32E5D	𲹝	^⿰羽巽$(B)
U+32E5E	𲹞	^⿰翟㐱$(T)
U+32E5F	𲹟	^⿰羽遂$(K)
U+32E60	𲹠	^⿰羽憲$(K)
U+32E61	𲹡	^⿰者𪟽$(V)
U+32E62	𲹢	^⿰而二$(V)
U+32E63	𲹣	^⿰而弍$(V)
U+32E64	𲹤	^⿰耒公$(B)
U+32E65	𲹥	^⿰串耒$(V)
U+32E66	𲹦	^⿰其耒$(V)
U+32E67	𲹧	^⿰耒咼$(T)
U+32E68	𲹨	^⿰耳𡿨$(G)
U+32E69	𲹩	^⿰耳弓$(T)
U+32E6A	𲹪	^⿰耳玄$(B)
U+32E6B	𲹫	^⿰耳台$(T)
U+32E6C	𲹬	^⿰耳米$(T)
U+32E6D	𲹭	^⿰耳肖$(B)
U+32E6E	𲹮	^⿰耳免$(T)
U+32E6F	𲹯	^⿰耳夌$(T)
U+32E70	𲹰	^⿰耳迎$(V)
U+32E71	𲹱	^⿰耳⿸⺶厶$(T)
U+32E72	𲹲	^⿰宜耳$(V)
U+32E73	𲹳	^⿰耳臿$(T)
U+32E74	𲹴	^⿰耳段$(T)
U+32E75	𲹵	^⿱記耳$(B)
U+32E76	𲹶	^⿰耳㒼$(T)
U+32E77	𲹷	^⿰耳𬀷$(T)
U+32E78	𲹸	^⿰耳窓$(T)
U+32E79	𲹹	^⿰耳參$(S)
U+32E7A	𲹺	^⿰耳閔$(T)
U+32E7B	𲹻	^⿰耳舜$(T)
U+32E7C	𲹼	^⿰耳葱$(T)
U+32E7D	𲹽	^⿰耳萬$(T)
U+32E7E	𲹾	^⿰耳義$(T)
U+32E7F	𲹿	^⿰耳蓋$(T)
U+32E80	𲺀	^⿰⿹耳王悤$(S)
U+32E81	𲺁	^⿰耳蓬$(V)
U+32E82	𲺂	^⿱耳⿲弓畐弓$(S)
U+32E83	𲺃	^⿰耳憲$(T)
U+32E84	𲺄	^⿰聿劣$(V)
U+32E85	𲺅	^⿰肉干$(S)
